topic	rank	download_priority	category	score	year	title	doi	pmid	url	cytokines
core_armored_CART_IL7	62	1	core_self_secreting_or_armored_cytokine_cart	56	2024	Long-Term Efficacy and Safety of CD19-Specific CAR-T Cells Armed with IL-7 and CCL19 in Patients with Relapsed or Refractory Large B-Cell Lymphoma: A Multi-Center Prospective Study	10.1182/blood-2024-205376		https://doi.org/10.1182/blood-2024-205376	IL-7
core_armored_CART_IL7	72	1	core_self_secreting_or_armored_cytokine_cart	56	2022	Transgenic expression of IL-7 regulates CAR-T cell metabolism and enhances in vivo persistence against tumor cells	10.1038/s41598-022-16616-2		https://doi.org/10.1038/s41598-022-16616-2	IL-7
core_armored_CART_IL7	75	1	core_self_secreting_or_armored_cytokine_cart	56	2021	The BCMA-Targeted Fourth-Generation CAR-T Cells Secreting IL-7 and CCL19 for Therapy of Refractory/Recurrent Multiple Myeloma	10.3389/fimmu.2021.609421		https://doi.org/10.3389/fimmu.2021.609421	IL-7
core_armored_CART_IL7	78	1	core_self_secreting_or_armored_cytokine_cart	56	2020	Co-Expression of IL-7 Improves NKG2D-Based CAR T Cell Therapy on Prostate Cancer by Enhancing the Expansion and Inhibiting the Apoptosis and Exhaustion	10.3390/cancers12071969		https://doi.org/10.3390/cancers12071969	IL-7
core_armored_CART_IL7	83	1	core_self_secreting_or_armored_cytokine_cart	56	2020	Autologous Active IL-7 Receptor Co-expressing GD2-specific CAR T-cells	10.32388/ohva3w		https://doi.org/10.32388/ohva3w	IL-7
core_armored_CART_IL12	33	1	core_self_secreting_or_armored_cytokine_cart	56	2026	IL-12-secreting CAR-T cells reprogram the tumor microenvironment and improve efficacy against heterogeneous models of glioblastoma.	10.1093/bioinformatics/btad553	41876135	https://pubmed.ncbi.nlm.nih.gov/41876135/	IL-12
core_armored_CART_IL12	34	1	core_self_secreting_or_armored_cytokine_cart	56	2026	Armored macrophage-targeted CAR-T cells reset and reprogram the tumor microenvironment and control metastatic cancer growth.	10.1038/s41586-025-09754-w	41576929	https://pubmed.ncbi.nlm.nih.gov/41576929/	IL-12
core_armored_CART_IL12	46	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Improving CAR-T cell function through a targeted cytokine delivery system utilizing car target-modified extracellular vesicles.	10.1186/s40164-025-00701-z	40855348	https://pubmed.ncbi.nlm.nih.gov/40855348/	IL-12
core_armored_CART_IL12	47	1	core_self_secreting_or_armored_cytokine_cart	56	2025	CCR5 and IL-12 co-expression in CAR T cells improves antitumor efficacy by reprogramming tumor microenvironment in solid tumors.	10.1158/1078-0432.CCR-20-0777	39751840	https://pubmed.ncbi.nlm.nih.gov/39751840/	IL-12
core_armored_CART_IL12	63	1	core_self_secreting_or_armored_cytokine_cart	56	2024	Mesothelin CAR-T cells expressing tumor-targeted immunocytokine IL-12 yield durable efficacy and fewer side effects.	10.1016/j.phrs.2024.107186	38641176	https://pubmed.ncbi.nlm.nih.gov/38641176/	IL-12
